# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
126           	smoothSolver	1.519490e-04	1.317200e-05	7	3.650100e-03	3.435670e-04	6	3.092460e-03	2.892490e-04	6	false	GAMG	1.713490e-03	1.625590e-05	3	true
127           	smoothSolver	1.467760e-04	1.236880e-05	7	3.544650e-03	3.255730e-04	6	3.004480e-03	2.757940e-04	6	false	GAMG	1.691780e-03	1.649940e-05	3	true
128           	smoothSolver	1.434360e-04	1.168660e-05	7	3.490810e-03	3.146040e-04	6	2.958970e-03	2.684640e-04	6	false	GAMG	1.662580e-03	1.651570e-05	3	true
129           	smoothSolver	1.401740e-04	1.107070e-05	7	3.431560e-03	3.052030e-04	6	2.917140e-03	2.608420e-04	6	false	GAMG	1.639320e-03	6.358070e-06	4	true
130           	smoothSolver	1.376350e-04	1.062910e-05	7	3.413240e-03	3.030550e-04	6	2.913450e-03	2.582280e-04	6	false	GAMG	1.617490e-03	1.590950e-05	3	true
131           	smoothSolver	1.331620e-04	1.025150e-05	7	3.303980e-03	2.907740e-04	6	2.826930e-03	2.468370e-04	6	false	GAMG	1.597540e-03	6.269070e-06	4	true
132           	smoothSolver	1.308250e-04	1.010540e-05	7	3.259610e-03	2.866490e-04	6	2.804240e-03	2.453000e-04	6	false	GAMG	1.576720e-03	1.539370e-05	3	true
133           	smoothSolver	1.271900e-04	9.927900e-06	7	3.137630e-03	2.746660e-04	6	2.707090e-03	2.355150e-04	6	false	GAMG	1.553490e-03	1.546170e-05	3	true
134           	smoothSolver	1.242790e-04	9.765500e-06	7	3.055690e-03	2.686380e-04	6	2.635490e-03	2.299270e-04	6	false	GAMG	1.531360e-03	1.476600e-05	3	true
135           	smoothSolver	1.222500e-04	9.621730e-06	7	2.981480e-03	2.631070e-04	6	2.562520e-03	2.253840e-04	6	false	GAMG	1.502230e-03	1.401390e-05	3	true
136           	smoothSolver	1.209840e-04	9.545880e-06	7	2.913030e-03	2.579660e-04	6	2.500400e-03	2.204010e-04	6	false	GAMG	1.472480e-03	1.352300e-05	3	true
137           	smoothSolver	1.191260e-04	9.494180e-06	7	2.844440e-03	2.523290e-04	6	2.428250e-03	2.148550e-04	6	false	GAMG	1.441830e-03	1.312760e-05	3	true
138           	smoothSolver	1.169030e-04	9.495570e-06	7	2.779340e-03	2.496400e-04	6	2.369020e-03	2.094620e-04	6	false	GAMG	1.412950e-03	1.296830e-05	3	true
139           	smoothSolver	1.143070e-04	9.499230e-06	7	2.714640e-03	2.455790e-04	6	2.303650e-03	2.030240e-04	6	false	GAMG	1.380090e-03	1.284060e-05	3	true
140           	smoothSolver	1.122550e-04	9.560490e-06	7	2.661810e-03	2.429960e-04	6	2.253320e-03	1.982160e-04	6	false	GAMG	1.352420e-03	1.294100e-05	3	true
141           	smoothSolver	1.105780e-04	9.558440e-06	7	2.600700e-03	2.382010e-04	6	2.214410e-03	1.950170e-04	6	false	GAMG	1.322490e-03	1.288670e-05	3	true
142           	smoothSolver	1.089640e-04	9.473600e-06	7	2.553670e-03	2.322630e-04	6	2.177830e-03	1.915160e-04	6	false	GAMG	1.297100e-03	1.282810e-05	3	true
143           	smoothSolver	1.069590e-04	9.321410e-06	7	2.488000e-03	2.251450e-04	6	2.133240e-03	1.878580e-04	6	false	GAMG	1.276810e-03	1.276420e-05	3	true
144           	smoothSolver	1.052130e-04	9.064460e-06	7	2.444480e-03	2.185620e-04	6	2.105330e-03	1.839850e-04	6	false	GAMG	1.262220e-03	1.254980e-05	3	true
145           	smoothSolver	1.033400e-04	8.722760e-06	7	2.400160e-03	2.113670e-04	6	2.072660e-03	1.790970e-04	6	false	GAMG	1.247350e-03	1.221780e-05	3	true
